id,type,x,y,z,vx,vy,vz,altitude_km,speed_kms,fuel_kg,area_m2,parent_event,generation,status,cluster_id,risk_level,risk_score
DEB-F00000,DEBRIS,-1913.617645168829,-4356.094634114301,-5325.158201531294,5.564239711090733,3.1286511202183087,-4.35770590891243,762.9275442116623,7.729089350181732,0.0,0.21839338515860962,COSMOS-BREAKUP,1,NOMINAL,133,LOW,0.16277571483070846
DEB-F00001,DEBRIS,64.46196997154175,-2916.351153518906,-6535.20314728346,5.5935495069982455,4.745395704664746,-1.6608878834476142,778.5479569103791,7.520978994949663,0.0,0.043774183269394244,COSMOS-BREAKUP,1,NOMINAL,-1,NOISE,0.0
DEB-F00002,DEBRIS,5270.045763764913,4229.708653809069,-2223.6592924900165,0.18712962902610095,3.259225827249751,6.4588397160767395,735.8266137220326,7.237000826933871,0.0,0.39190663222605676,COSMOS-BREAKUP,1,NOMINAL,178,LOW,0.23942308470282675
DEB-F00003,DEBRIS,2676.302233901018,-272.87416890164104,-6663.240482311681,4.945029095684515,5.406384536489435,1.4769276586928035,807.670378740022,7.474197068753962,0.0,0.34326437613880867,COSMOS-BREAKUP,1,NOMINAL,-1,NOISE,0.0
DEB-F00004,DEBRIS,-2967.289293502681,33.84612408739876,6509.925310922914,-4.511171876294352,-5.3100805528578245,-1.9676555413403969,776.2378060362462,7.240117091917474,0.0,0.32811309688173346,COSMOS-BREAKUP,1,NOMINAL,214,LOW,0.11486883517494967
DEB-F00005,DEBRIS,-2085.541196070714,-4450.358319952084,-5168.926898840222,5.226928614139119,3.009631829338185,-4.2866042542874325,754.3924631027494,7.399570427960459,0.0,0.46678091916842046,COSMOS-BREAKUP,1,NOMINAL,133,LOW,0.16277571483070846
DEB-F00006,DEBRIS,2815.9645343719694,4854.696412146386,4449.325232055197,-4.688763497290645,-2.3646855608162114,5.596975711785175,783.8619202422233,7.674788469617326,0.0,0.4314620345361351,COSMOS-BREAKUP,1,NOMINAL,206,LOW,0.18388676048936958
DEB-F00007,DEBRIS,1853.4044700498432,4361.715005018101,5434.714462344181,-5.373523563534881,-3.064127654969044,4.26561380263366,832.673440013923,7.513926728883473,0.0,0.4375508188587776,COSMOS-BREAKUP,1,NOMINAL,157,LOW,0.1988495512703854
DEB-F00008,DEBRIS,-380.6574726949704,-3307.467765976457,-6347.450070010578,5.47744315111465,4.267886095119247,-2.470703094449073,789.4543336189245,7.370319462243494,0.0,0.06422470645252487,COSMOS-BREAKUP,1,NOMINAL,150,LOW,0.2399682262090366
DEB-F00009,DEBRIS,4758.456892316133,5261.815888748366,1076.0464559151044,-2.5256645937864017,0.7250498666033153,7.08957326931067,797.341689147027,7.5608682100862,0.0,0.40096663768978225,COSMOS-BREAKUP,1,NOMINAL,170,LOW,0.14869194168952893
DEB-F00010,DEBRIS,4627.736602291499,2327.6530104508047,-5058.019157556651,2.808619960658426,4.96755379133636,4.650734736987071,861.8541875263545,7.361675783885581,0.0,0.21568672290205038,COSMOS-BREAKUP,1,NOMINAL,193,LOW,0.2434758917038969
DEB-F00011,DEBRIS,-5294.948050311073,-4205.32985578145,2392.99477697818,-0.36086057769530533,-3.2291547541874217,-6.437314526058813,794.5680722906982,7.210872283602978,0.0,0.1272363556807452,COSMOS-BREAKUP,1,NOMINAL,242,LOW,0.22390207086889258
